"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","bd_filled","horizon_simple","cf_1_values","ccontent"
"98","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","C",127,127,0,NA,0,0.12,"no","C",NA,NA
"99","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","LF",7.5,10,2.5,0.14,0,48.23,"yes","L",NA,1688.05
"100","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","H",0,7.5,7.5,0.14,0,48.81,"yes","H",NA,5125.05
"101","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfh1",-15,0,15,1.38,52,4.24,"yes","B",NA,4212.864
"102","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfh2",-30,-15,15,1.38,52,3.23,"yes","B",NA,3209.328
"103","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bf1",-45,-30,15,1.38,46,2.11,"yes","B",NA,2358.558
"104","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bf2",-60,-45,15,1.38,59,1.22,"yes","B",NA,1035.414
"105","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfgj1",-75,-60,15,1.38,56,1.12,"yes","B",NA,1020.096
"106","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","Bfgh2",-90,-75,15,1.38,56,2.11,"yes","B",NA,1921.788
"107","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","BCd",-105,-90,15,1.38,56,0.41,"yes","B",NA,373.428
"108","LEWIS 1976","BW","Duric Humo-Ferric Podzol",50.53333333,-127.33333333,"LOW","C",105,105,0,NA,0,0.17,"no","C",NA,NA
"109","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","LF",5,7.5,2.5,0.16,0,42.02,"yes","L",NA,1680.8
"110","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","H",0,5,5,0.16,0,31.9,"yes","H",NA,2552
"111","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Ae",-2.5,0,2.5,1.24,22,1.89,"yes","A",NA,457.002
"112","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm1",-17.5,-2.5,15,1.45,44.4705882352941,1.31,"yes","B",NA,1582.17176470588
"113","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm2",-32.5,-17.5,15,1.45,44.4705882352941,1.25,"yes","B",NA,1509.70588235294
"114","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bm3",-47.5,-32.5,15,1.45,44.4705882352941,0.89,"yes","B",NA,1074.91058823529
"115","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","Bmgj",-62.5,-47.5,15,1.45,56,1.04,"yes","B",NA,995.28
"116","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","BCd",-77.5,-62.5,15,1.45,0,0.35,"yes","B",NA,761.25
"117","LEWIS 1976","GD","Duric Dystric Brunisol",49.05,-124.16666667,"LOW","C",-77.5,-77.5,0,NA,0,0.12,"no","C",NA,NA
"118","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","LF",7.5,22.5,15,0.11,0,25.07,"yes","L",NA,4136.55
"119","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","H",0,7.5,7.5,0.11,0,50.34,"yes","H",NA,4153.05
"120","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf1",-15,0,15,0.86,49,10.98,"yes","B",NA,7223.742
"121","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf2",-30,-15,15,0.86,33,8.56,"yes","B",NA,7398.408
"122","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf3",-45,-30,15,0.86,29,7.93,"yes","B",NA,7263.087
"123","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhf4",-60,-45,15,0.86,33,11.01,"yes","B",NA,9515.943
"124","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhfgj1",-75,-60,15,0.86,48,9.58,"yes","B",NA,6426.264
"125","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","Bhfgj2",-90,-75,15,0.86,41,9.35,"yes","B",NA,7116.285
"126","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","BCd",-105,-90,15,1.71,53.6666666666667,1.51,"yes","B",NA,1794.5595
"127","LEWIS 1976","GW","Duric Ferro-Humic Podzol",48.6,-124.36666667,"LOW","C",105,105,0,NA,0,1.43,"no","C",NA,NA
"128","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","LF",10,12.5,2.5,0.11,0,33.41,"yes","L",NA,918.775
"129","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","H",0,10,10,0.11,0,44.35,"yes","H",NA,4878.5
"130","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bhf",-15,0,15,0.86,35,6.13,"yes","B",NA,5140.005
"131","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bhf",-30,-15,15,0.86,39,5.38,"yes","B",NA,4233.522
"132","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bfhgj1",-45,-30,15,0.86,41,3.67,"yes","B",NA,2793.237
"133","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","Bfhgj2",-55,-45,10,0.86,45,3.3,"yes","B",NA,1560.9
"134","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","BCd",-70,-55,15,1.71,44,0.93,"yes","B",NA,1335.852
"135","LEWIS 1976","LW","Duric Ferro-Humic Podzol",50.61666667,-128.05,"LOW","C",-70,-70,0,NA,0,0.39,"no","C",NA,NA
"136","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","LF",7.5,10,2.5,0.14,0,46.61,"yes","L",NA,1631.35
"137","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","H",0,7.5,7.5,0.14,0,43.16,"yes","H",NA,4531.8
"138","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Ae",-5,0,5,1.31,22,1.16,"yes","A",NA,592.644
"139","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfh",-20,-5,15,1.46,32,2.98,"yes","B",NA,4437.816
"140","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf1",-35,-20,15,1.46,36,2.59,"yes","B",NA,3630.144
"141","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf2",-50,-35,15,1.46,35,1.63,"yes","B",NA,2320.305
"142","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf3",-65,-50,15,1.46,34,0.85,"yes","B",NA,1228.59
"143","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bf4",-80,-65,15,1.46,43,1.96,"yes","B",NA,2446.668
"144","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj1",-95,-80,15,1.46,33,2.77,"yes","B",NA,4064.421
"145","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","Bfgj2",-110,-95,15,1.46,33,3.92,"yes","B",NA,5751.816
"146","LEWIS 1976","SW","Orthic Humo-Ferric Podzol",48.56666667,-124.33333333,"LOW","C",-110,-110,0,NA,0,0.43,"no","C",NA,NA
